date,cust_email,cust_location,product_id,product_quantity
2022-01-01,maesp@icloud.com,82321,A5USXEIA3L0O,1
2022-01-01,strua@msn.com,21767,LMF7DC8TPTI3,1
2022-01-01,tant@hotmail.com,23962,MMW2SV9XBNZO,1
2022-01-01,tant@hotmail.com,23962,2MQL9E497GMT,1
2022-01-01,tant@hotmail.com,23962,N6JD69MJR4OG,1
2022-01-01,tant@hotmail.com,23962,TAIQQJB147OO,1
2022-01-01,snaur@aol.com,70593,V1QA49URA794,3
2022-01-01,snaur@aol.com,70593,SWN4P0XOTP2B,1
2022-01-01,snaur@aol.com,70593,BBRJ47JQQDZ6,1
2022-01-01,snaur@aol.com,70593,WPTEH48I6BNX,1
2022-01-01,snua@outlook.com,22335,IU7EUDY6NLM3,1
2022-01-01,snua@outlook.com,22335,RSWT1GOU2O3G,2
2022-01-01,snua@outlook.com,22335,6V3F2HYRHJOH,2
2022-01-01,snua@outlook.com,22335,6W89OYO8QKJB,1
2022-01-01,snua@outlook.com,22335,2OCDAUS86U09,1
2022-01-01,wa@hotmail.com,81509,503URBATPU1E,1
2022-01-01,stoim@yahoo.com,42981,XBEN75I1D6LL,1
2022-01-01,boenk@live.com,51362,P0HOSP35F72G,1
2022-01-01,boenk@live.com,51362,Q94PWBA3VJ52,2
2022-01-01,hel@msn.com,83014,ETV9E7TLNLEY,2
2022-01-01,hel@msn.com,83014,3DBHKAN4DADU,2
2022-01-01,fat@outlook.com,16082,4YCL2TUS87FV,1
2022-01-01,fat@outlook.com,16082,7ZG2XKRC8269,1
2022-01-01,shosh@yahoo.com,17983,CK6H8D9XYEL4,3
2022-01-01,prak@msn.com,60744,IS0ZP8O40MTF,1
2022-01-02,jaar@live.com,27243,54BXMP4S83Z1,2
2022-01-02,tank@gmail.com,25774,EWY5CTBG21ZQ,3
2022-01-02,tank@gmail.com,25774,NUABDP2PHWFG,2
2022-01-02,tank@gmail.com,25774,UUPGA9LL8G54,2
2022-01-02,tank@gmail.com,25774,J8UISWC7AE3G,2
2022-01-02,tank@gmail.com,25774,5FQH7F4WM3YE,2
2022-01-02,tank@gmail.com,25774,H0PN9I137GZ2,2
2022-01-02,clei@live.com,46787,1MWM7DI59UEQ,1
2022-01-02,clei@live.com,46787,7C0JMTU3UGUX,1
2022-01-02,clei@live.com,46787,TMB6JTAYDBRV,1
2022-01-02,smeu@yahoo.com,78078,VBZZNALFLQV6,1
2022-01-02,smeu@yahoo.com,78078,85SLUZ3LPHLS,1
2022-01-02,smeu@yahoo.com,78078,KSL4UBYI9PPU,1
2022-01-02,gluo@yahoo.com,57306,5G2QKEWAYTCD,1
2022-01-02,gluo@yahoo.com,57306,CACL5UVI7FJ5,1
2022-01-02,gluo@yahoo.com,57306,HQW41SSHY47M,4
2022-01-02,swoe@outlook.com,01121,7OG4VORZ49J2,3
2022-01-02,swoe@outlook.com,01121,7Q1FI3761TSZ,2
2022-01-02,swoe@outlook.com,01121,5239X2U9I02F,1
2022-01-02,paa@outlook.com,43353,41YUOG1R2RUZ,1
2022-01-02,paa@outlook.com,43353,IC47N97WIEVV,1
2022-01-02,paa@outlook.com,43353,G5IPW7BANQG2,2
2022-01-02,paa@outlook.com,43353,Z5WLHUVVKT29,1
2022-01-02,spoend@msn.com,01988,D7BPF73TKKXG,1
2022-01-02,zee@live.com,23104,ONGKRDIM3ZR7,1
2022-01-02,zee@live.com,23104,U6TBOQTVLN3N,1
2022-01-02,zom@gmail.com,75905,MSHRWYW16PR7,2
2022-01-02,zom@gmail.com,75905,IDLNGMXDA12P,1
2022-01-02,skink@outlook.com,67231,V62ZYDTZ84D0,3
2022-01-02,foi@inbox.com,99402,9DBZ5AQWQNQ0,1
2022-01-02,foi@inbox.com,99402,5BM5528XKIFR,2
2022-01-02,fue@msn.com,73620,O202UUB3KC05,1
2022-01-02,fue@msn.com,73620,B3NZX6YO14LO,3
2022-01-02,fue@msn.com,73620,EAJE2Q7QLVBK,3
2022-01-02,che@gmail.com,98248,HFP9GDUKB4OJ,2
2022-01-02,duoz@gmail.com,63888,4GWTIIC6OMTZ,2
2022-01-02,duoz@gmail.com,63888,BEEKWFA7O54A,1
2022-01-02,duoz@gmail.com,63888,KJFDS0NJV700,2
2022-01-02,claa@yahoo.com,47485,39T760VSNO69,5
2022-01-02,bryv@icloud.com,62760,GN6JKUZ0EN42,1
2022-01-02,bryv@icloud.com,62760,3KM3ANTP2IBR,1
2022-01-02,bryv@icloud.com,62760,JIMN6LCVJ2KP,3
2022-01-02,bryv@icloud.com,62760,MB9IQDM1E5RL,1
2022-01-02,guiz@icloud.com,42538,MWIC9JRZMBHC,4
2022-01-02,guiz@icloud.com,42538,U89M2KTPYSM0,1
2022-01-03,ju@aol.com,30255,T35U0A53UM0F,1
2022-01-03,ten@aol.com,58944,MF9TWXQY78VR,2
2022-01-03,ten@aol.com,58944,VR19JBJRJFVT,2
2022-01-03,ten@aol.com,58944,CAMHQ3SWK05T,1
2022-01-03,ten@aol.com,58944,GY5XVN74LR9T,1
2022-01-03,gist@aol.com,81727,IH1XPUQURGFU,4
2022-01-03,brio@aol.com,55058,OQLHA4N5TYZT,1
2022-01-03,brio@aol.com,55058,QCJ0EN9C9BP9,2
2022-01-03,brio@aol.com,55058,HGONKDCX4H6A,2
2022-01-03,stropt@inbox.com,37080,WOVRI5FETEP3,3
2022-01-03,skua@mail.com,44713,QCSLFDHDXYQ9,1
2022-01-03,skua@mail.com,44713,OJCQN986H2ZC,5
2022-01-03,skua@mail.com,44713,8IKJ20NIZSVX,1
2022-01-03,drump@aol.com,44242,C1HL3DB2644L,1
2022-01-03,dush@aol.com,81727,2WOYPMNH10A5,1
2022-01-03,sla@msn.com,65296,GYFFEV43VA10,1
2022-01-03,noeft@gmail.com,41753,NL0SSN3YY93F,1
2022-01-03,ye@live.com,25509,L24DW18DKUJN,1
2022-01-03,shaf@msn.com,53329,57K8IC9SQF0K,2
2022-01-03,shaf@msn.com,53329,9MBDBBZQCL81,2
2022-01-03,praub@yahoo.com,55160,4VYFSK70WZ6W,1
2022-01-03,praub@yahoo.com,55160,VZMLS0UD0QRU,1
2022-01-03,praub@yahoo.com,55160,EH16K2XCB6T1,1
2022-01-03,bloo@hotmail.com,48992,29DUIFBON4XU,1
2022-01-03,bloo@hotmail.com,48992,DNYMAJKU7I8P,3
2022-01-03,bloo@hotmail.com,48992,T6EZZVBS5EMS,2
2022-01-03,lask@inbox.com,25509,JLG4DLT97OYW,7
2022-01-03,lask@inbox.com,25509,N6CNXNG8AR9J,6
2022-01-03,lask@inbox.com,25509,RY7UV6VTF6YH,1
